Person,Quest,Days to Complete,Quest Start Date,Quest Completion Date,Number of Shrubberies Utilized,Goal of Quest,Reward (GBP),Quest Difficulty,Quest Companion,Enemy Encountered,Sacrifices Made,Knights Lost,Proclamations Made,Number of Times Fleeing,Coconuts Utilized,Jokes Told,Injuries Sustained,Morale Level
Sir Robin,The Trial of the Ancient Guardians,33.0,562-07-09,511-01-14,1,Face the Ancient Guardians and prove your strength.,2430,Easy,Sir Bedevere,French Taunter,Coconuts Lost,0,10,2,3,1,5,10
King Arthur,The Hunt for the Beast of the Black Woods,,,,0,Hunt down the Beast of the Black Woods.,3007,Easy,Coconuts,The Black Knight,Coconuts Lost,0,4,0,5,8,0,8
Lancelot,The Hunt for the Beast of the Black Woods,,,,1,Hunt down the Beast of the Black Woods.,5170,Hard,Coconuts,Castle Anthrax,None,3,2,0,6,7,3,9
Sir Robin,The Hunt for the Beast of the Black Woods,,,,10,Hunt down the Beast of the Black Woods.,1845,Moderate,Coconuts,The Black Knight,None,5,8,4,4,12,5,10
King Arthur,The Rescue of the Unicorn,4.0,544-06-19,568-11-10,0,Rescue the unicorn from a band of thieves.,8903,Moderate,Sir Bedevere,The Three-Headed Giant,None,5,6,0,5,17,4,4
Lancelot,The Rescue of the Unicorn,,,,4,Rescue the unicorn from a band of thieves.,9223,Impossible,Coconuts,French Taunter,Coconuts Lost,2,0,0,0,8,4,7
Sir Robin,The Rescue of the Unicorn,22.0,504-10-20,528-07-12,8,Rescue the unicorn from a band of thieves.,9468,Easy,A Swallow,The Knights Who Say Ni,None,5,9,0,5,17,1,1
King Arthur,Quest for the Lost Scrolls of Wisdom,,,,2,Find the Lost Scrolls of Wisdom for eternal knowledge.,2835,Moderate,Sir Bedevere,Castle Anthrax,A Few Good Knights,2,0,0,0,16,2,10
Lancelot,Quest for the Lost Scrolls of Wisdom,9.0,576-11-22,532-10-24,4,Find the Lost Scrolls of Wisdom for eternal knowledge.,3386,Moderate,Sir Bedevere,The Black Knight,Coconuts Lost,2,3,0,0,4,2,4
Sir Robin,Quest for the Lost Scrolls of Wisdom,,,,7,Find the Lost Scrolls of Wisdom for eternal knowledge.,9693,Easy,A Swallow,The Black Knight,Coconuts Lost,1,4,4,5,1,1,7
King Arthur,The Battle for the Ruby Throne,1.0,590-03-16,597-07-07,10,Fight to claim the Ruby Throne for your house.,5059,Easy,Coconuts,The Three-Headed Giant,None,1,0,0,1,9,2,10
Lancelot,The Battle for the Ruby Throne,,,,8,Fight to claim the Ruby Throne for your house.,4924,Moderate,Coconuts,The Knights Who Say Ni,A Few Good Knights,4,0,0,0,19,4,4
Sir Robin,The Battle for the Ruby Throne,51.0,560-12-07,562-03-09,2,Fight to claim the Ruby Throne for your house.,5918,Easy,Sir Bedevere,French Taunter,Coconuts Lost,0,8,5,2,17,0,10
King Arthur,The Defense of the Great Bridge,,,,6,Defend the Great Bridge from invading forces.,3630,Hard,A Swallow,Castle Anthrax,A Few Good Knights,4,1,0,6,2,4,5
Lancelot,The Defense of the Great Bridge,,,,4,Defend the Great Bridge from invading forces.,1821,Moderate,Coconuts,The Three-Headed Giant,None,0,3,0,1,13,1,6
Sir Robin,The Defense of the Great Bridge,64.0,583-09-17,571-07-06,8,Defend the Great Bridge from invading forces.,8545,Moderate,A Swallow,Castle Anthrax,A Few Good Knights,1,6,4,5,19,1,2
King Arthur,The Duel at Dawn,47.0,583-10-11,534-10-04,6,Engage in a duel at dawn to settle an ancient grudge.,1145,Moderate,Patsy the Squire,The Knights Who Say Ni,Coconuts Lost,1,3,0,0,12,5,8
Lancelot,The Duel at Dawn,,,,6,Engage in a duel at dawn to settle an ancient grudge.,5379,Easy,A Swallow,French Taunter,Coconuts Lost,1,3,0,2,13,4,6
Sir Robin,The Duel at Dawn,52.0,509-10-25,552-08-15,8,Engage in a duel at dawn to settle an ancient grudge.,3291,Easy,Tim the Enchanter,French Taunter,None,0,9,0,2,8,4,9
King Arthur,The Journey to the Caverns of Ice,53.0,508-06-21,516-04-19,5,Explore the Caverns of Ice and discover its secrets.,7338,Moderate,Coconuts,The Three-Headed Giant,A Few Good Knights,1,0,0,5,13,4,10
Lancelot,The Journey to the Caverns of Ice,,,,8,Explore the Caverns of Ice and discover its secrets.,7142,Moderate,A Swallow,French Taunter,None,4,9,0,1,9,4,10
Sir Robin,The Journey to the Caverns of Ice,14.0,580-04-25,544-11-17,2,Explore the Caverns of Ice and discover its secrets.,388,Hard,Tim the Enchanter,French Taunter,None,0,3,5,1,13,2,7
King Arthur,The Capture of the Golden Griffin,,,,8,Capture the mythical Golden Griffin.,7117,Easy,Coconuts,French Taunter,None,4,4,0,6,1,0,9
Lancelot,The Capture of the Golden Griffin,,,,2,Capture the mythical Golden Griffin.,6808,Easy,A Swallow,Castle Anthrax,A Few Good Knights,4,8,0,5,12,0,5
Sir Robin,The Capture of the Golden Griffin,,,,7,Capture the mythical Golden Griffin.,8210,Hard,Coconuts,The Knights Who Say Ni,A Few Good Knights,1,4,5,1,0,3,3
King Arthur,The Liberation of the Kingdom of the East,71.0,584-09-16,517-09-20,0,Liberate the Eastern Kingdom from oppression.,1466,Impossible,Tim the Enchanter,The Three-Headed Giant,None,1,8,0,4,12,1,6
Lancelot,The Liberation of the Kingdom of the East,,,,2,Liberate the Eastern Kingdom from oppression.,6852,Moderate,A Swallow,The Three-Headed Giant,Coconuts Lost,0,6,0,3,19,4,8
Sir Robin,The Liberation of the Kingdom of the East,2.0,549-11-22,599-07-13,6,Liberate the Eastern Kingdom from oppression.,4398,Easy,Tim the Enchanter,The Three-Headed Giant,Coconuts Lost,1,7,0,2,12,0,7
